content,label,category
【实用贴】误删资料，该怎么恢复？一不小心，删错了，还把回收站清空了，怎么办？只要三步，你就能找回你删掉并清空回收站的东西。这个超级实用，值得收藏~,1,科技
【“广寒宫”不再是传说啦[兔子]】国际天文学联合会宣布，中国“嫦娥三号”探测器落在月亮上后，“玉兔”月球车又出去跑了一圈的那块地，被正式命名为“广寒宫”。附近三个撞击坑分别命名为“紫微”、“天市”、“太微”。现在，“嫦娥”和“玉兔”仍住在“广寒宫”中。(新华网)http://t.cn/RUlLKeF,0,科技
【[lt赞]两名华人科学家入选《自然》十大科学人物】17日，《自然》杂志评选出2015年十大科学人物，两位华人科学家入选。黄军就，发表全球第一篇CRISPR技术修改人类胚胎基因的报告。鲍哲南，斯坦福大学华裔女科学家，开发有感知压力并可与大脑沟通的柔性人造皮肤。觉得自豪就点赞！http://t.cn/R4ygi2C,0,科技
【不明觉厉！《科学》评出2015十大科学突破】①“基因剪刀”CRISPR基因组编辑技术②新视野探测器近距离飞过冥王星③脑内也有淋巴管④用酵母合成阿片类止痛药⑤量子纠缠状态获证实⑥地幔柱存在证据⑦研制埃博拉疫苗⑧改善心理学⑨新古人种化石⑩早期美洲人来自亚洲。你感兴趣的是？http://t.cn/R4yDhL1,0,科技
据扯，新浪即将发布新规定：即将开启最近来访功能，只有你付费成为微博vip，就可以不把你显示在别人的“最近来访”里。#如果我是新浪，就这么干，赚翻了#,1,科技
小浪，你真的要开启#最近访客#功能了吗？那我以后怎么看女友、前女友、前前女友、女友的前男友、女友前男友的现女友、前女友的现男友、前前女友的暧昧对象、现女友的勾搭对象，以及那些我讨厌的人、讨厌我的人、我以前讨厌的人、我不愿关注却天天偷看的人。你妹啊！你告诉我怎么看？怎。么。看！[哼],1,科技
涨姿势！10个关于水的不可思议的科学实验~http://t.cn/Ry70EzV,0,科技
【高难度领带结怎么系】如此高端洋气的领带结打法，男人们赶紧收藏了，女孩纸也为TA学起来吧！！,0,科技
"山东省政府与腾讯签订战略合作协议，共建“数字山东”：在山东省委副书记、省长李干杰、腾讯集团高级副总裁奚丹出席见证下，山东省副省长孙继业和腾讯集团副总裁刘勇分别代表双方进行战略合作签约,根据协议，双方将充分利用移动互联网、物联网、大数据、云计算、人工智能、区块链等先进信息技术，在数字政府建设、数字经济发展、数字社会构建、数字平台搭建等方面深化合作,9月16日，山东文旅厅与腾讯签订战略合作协议，双方将在智慧文旅、全域旅游、文创IP、人才培育等领域进行系统深入合作。#互联网快讯#​​​​#互联网资讯#​​​​#互联网[超话]#",0,科技
我才知道原来微博也可以查看最近访客的。害我那么肆无忌惮，情何以堪啊我！,1,科技
【英学者：葡萄干能预测孩子未来是否聪明】英学者称，把葡萄干放杯子下，告诫孩子不要吃。坚持1分钟不吃的孩子比坚持不住的长大后可能要更出息。控制能力好，8岁时就能更好控制注意力，学习也更好。孩子的胎龄越短，控制能力就越弱，8岁时学习相对差。（中国日报网）http://t.cn/RUuxfKC你咋看？,0,科技
#屠呦呦再次落选院士#让人觉得好笑。,1,科技
#天下#【NASA拍螺旋星系：超大质量黑洞藏身宇宙尘埃】美国宇航局利用核光谱望远镜拍摄到位于鲸鱼座的1068螺旋星系，距离地球4700万光年。照片展示出了可见光与X射线，其中X射线来自星系中央一个活跃的超大质量黑洞。该黑洞较为模糊，被厚厚的云层的气体和尘埃所覆盖。http://t.cn/R4y15Qb,0,科技
$中天科技sh600522$发生了什么：北向资金火力全开芯片、5G、新能源一个都不能少，点击链接查看更多-&gt;网页链接,0,科技
【劲爆：宁波劈腿楼。。。】这是宁波东部新城门户区2B-U地块，即将落成的西班牙设计师的超现实作品。主刀结构设计的是设计央视大裤衩的结构工程师。绝对是技术帝啊，怎么解决会拐弯的电梯呢？？地产人给的评语是：技术难题不可怕，可怕的是这难题竟然给攻破了啊！亲，你上班会害怕吗？？by徐明达FC,1,科技
新骗局来了，如果你接到任何一个电话（包括10086或10010），说是在检查你的线路，并要求你按#键或其它任何按键，请不要按那些键并马上结束通话。那是一家诈骗公司，他们的机器能在你按下任意键后，连接到你的SIM卡并用你的话费打电话。(还可以窃听你的一切通话和短信)@江宁公安在线这是真的吗？,1,科技
【“媒体融合链”来了中国搜索赋能版权保护】“媒体融合链，版权价值链”。由新华社中国搜索研发的“媒体融合链”区块链版权平台，近日正式上线。作为国家版权局“版权保护新技术研究推广站点”授牌单位，中国搜索此举旨在打造融合、协同、创新的版权新生态，助力提升媒体版权价值。详戳：...全文,0,科技
区块链快讯|01月30日星期六1、“媒体融合链”区块链版权平台正式上线，中国搜索赋能版权保护2、京东关联企业等共同成立农业科技公司，经营范围含区块链技术相关软件和服务3、央行清算总中心招博士后，研究方向为人工智能、开放银行、区块链4、证监会：大力促进区块链等创新科技在行业的推广应用...全文,0,科技
【中国央行：加快完善金融科技监管框架】下一步，金融管理部门将做好统筹与协同，强化监管顶层设计和整体布局，加快完善符合我国国情的金融科技监管框架。一是以创新监管工具为基础，在总结金融科技创新监管试点经验基础上，完善风险监控体系，适时发布白皮书，尽早推出符合我国国情、与国际接轨的金融...全文,0,科技
【今天，向这位中国科学家转发祝贺！#屠呦呦获颁诺贝尔奖#[鼓掌]】10日，瑞典斯德哥尔摩音乐厅，中国科学家屠呦呦从瑞典国王卡尔十六世•古斯塔夫手中领取诺贝尔生理学或医学奖。这是中国科学家在中国本土进行的科学研究首获诺贝尔科学奖，是中国医学界迄今为止获得的最高奖项。http://t.cn/R4zqm3x,0,科技
【那些伤感的事】小平访英，看到涡轮发动机，英国人很爽快答应引入中国生产，小平向英国科学家致敬，但英国人站起来反而向邓致敬。原来中国科学家吴仲华50年代研究出涡轮发动机原理，并写出涡轮机械三元流动方程式的论文，英国人据此造出涡轮发动机。当时吴仲华还在湖北五七干校养猪。时代的悲剧！,1,科技
美国最新机器人老婆Alice艾丽丝面世，按21岁姑娘打造，与真人相似度99%，售价十万美金，终身软件升级和保修。买一个这样的老婆，你就是活到101岁，你老婆还是21岁那样动人！事件排行榜的微博视频,1,科技
【研究称女人不是同性恋就是双性恋[巨汗]】英国埃塞克斯大学找来345位女子观看裸体男性和女性的视频，被监测是否受到性刺激。结果，认为自己是异性恋的受试者，看到男人和女人的身体都有强烈的性反应，而女同只对女人身体有反应。结果称，女人在性方面不是同性恋就是双性恋，没有异性恋。@这里是美国,0,科技
【别怪网速太慢，只怪自己不会调网速！】XP/WIN7系统都会默认限制20％的网速，我们可以很轻松地解除这个限制，使你的上网速度达到100%，真正地体验冲浪的感觉~！本教程仅供技术交流，喜欢赶紧转走吧！学电脑，请关注@黑客是这样练成的,1,科技
【非可靠消息】据说过几天微博会出现访问记录功能，亲们，颤抖吧！~[转发]【转】,1,科技
小浪，你真的要开启“最近访客功能”了吗？那我以后怎么看女友、前女友、前前女友、女友的前男友、女友前男友的现女友、前女友的现男友、前前女友的暧昧对象、现女友的勾搭对象，以及那些我讨厌的人、讨厌我的人、我以前讨厌的人、我不愿关注却天天偷看的人。你妹啊！你告诉我怎么看？怎。么。看！[哼],1,科技
德国的科技农业，全世界都震惊了！牛！http://t.cn/R2M6KGE,0,科技
微博可以看到來訪者？？？？那還有毛意思！！！！😤😤😤😤,1,科技
【vivo隐形指纹技术正式亮相】全面屏手机时代即将到来。如此一来前后指纹已成为过去式，所有手机设计上又将站在同一起跑线了，大家觉得屏幕内指纹解锁帅不帅？秒拍视频,0,科技
古典舞蹈表演者不是你思维的女演员，而是刚问世的机器人！视频来自上海迪士尼4D影视，排队买票观看要4小时以上，票价：499元。这是我国自行研制的机器人，其技术水平已超越日本。看脸部表情多丰富……生活在这个年代，有喜有忧，感觉随时要被淘汰😂️😂️zhaoyiwei54321的微博视频,1,科技
传屠呦呦再次落选两院院士。无论真假，中国的体系有严重地问题。,1,科技
近日，上海浦东机场发现了一群形迹可疑美国人，海关工作人员直接把他们拦了下来，强制打开了他们的箱子进行检查，结果在里面发现了中国自主研发的电子芯片！这些芯片凝结了我国科学家多年的心血。加起来市场价可以达到3400万。这些美国间谍被抓了现行后，美国官方立刻声称，这只是个人行为问题是：有人信么？[看],1,科技
在百度搜你想看的片名或者主角，后面加上torrent，找到的全是种子。我会告诉你在百度文库的wenku前边加wap就能复制文档吗，我会告诉你在优酷播放页youku后加xia就能直接下载视频吗，我会告诉你在土豆视频链接后面加?tid=-1就可以跳过45秒广告吗。别逗了，我可不是雷锋！！,0,科技
【劲爆：宁波劈腿楼。。。】这是宁波东部新城门户区2B-U地块，即将落成的西班牙设计师的超现实作品。主刀结构设计的是设计央视大裤衩的结构工程师。绝对是技术帝啊，怎么解决会拐弯的电梯呢？？地产人给的评语是：技术难题不可怕，可怕的是这难题竟然给攻破了啊！亲，你上班会害怕吗？？,1,科技
#民生#【国产首架ARJ21支线客机今交付】今天，我国ARJ21新支线飞机从上海飞往成都，正式交付给成都航空公司。这是继11月2日C919大型客机总装下线后，我国航空工业又一重大突破。标志着国内航线将首次拥有自己的喷气式支线客机！中国，加入了世界商用飞机的家族！为中国点赞！http://t.cn/RUgIZyV,0,科技
#iOS14.0.1#在正式上线不久后开始推送，听说官方这次紧急修复了几个主要Bug，包括了导致iPhone无法接入无线局域网等问题等。但与此同时，也有不少更新了新版本的用户表示，这次又来了几个新Bug......#ios14##iPhone#,0,科技
【北京丰台法院正式上线启动全市首个“金融类案件一体化办案平台”】8月12日上午，北京市丰台区人民法院上线启动全市首个“金融类案件一体化办案平台”，向社会通报该平台建设成果。据了解，自2017年起，丰台法院受理的金融类案件数量逐年上涨，收案类型也从5类发展为11类。2019年以来，丰台法院经过调研，发现该类案件存在批量呈现、类型发展多样化、批量化的特点和多元解纷途径不足、当事人地域分散等审理难点。丰台法院围绕人民群众多元化司法需求，致力于有效提升金融类案件审判质效、推进金融类案件诉源治理机制建设，自去年以来，通过对区内各大金融机构调研、反复论证的基础上，开展金融类案件一体化办案平台建设，探索金融类案件的网络化、无纸化、批量化、智能化审判模式，让人民群众在诉讼活动中感受更多便利。http://t.cn/A6UpgiuV,0,科技
浪浪你真的要开启微博可查看最近访客功能了么。。。。。。（via：丁一晨DYC）,1,科技
工程院中药院士李连达发文谈丹参滴丸在美国临床III期试验的惨败网页链接,0,科技
#我爱你中国#我国自行研制的机器人美女，超过世界上任何国家，在上海庆祝祖国70年之际。表演舞蹈(一条大河)先睹为快，快看并转发吧。#国庆节#董郎行的微博视频,1,科技
给你们说个鬼故事：过几天微博就可以看访客了。,1,科技
#防控疫情天津在行动#【天津“健康码”功能升级中！将集成更多便民公共服务功能】3月19日，在第100场天津市新型冠状病毒肺炎疫情防控工作新闻发布会上，天津市大数据管理中心党委书记、主任边柯柯介绍了天津疫情防控和复工复产“健康码”的应用推广情况。他表示，按照市委、市政府部署要求，天津“健康码”自2月29日上线以来，充分助力疫情防控和#复工复产#，在天津市得到广泛使用，实现亮“码”通行，一“码”走津门。发布会上有记者提问，很多人关心疫情过后，天津“健康码”还会沿用下去吗？还会开发其他功能吗？边柯柯介绍，目前，天津“健康码”的定位是方便市民工作、生活的数字通行证。为了优化用户体验，一直在对天津“健康码”进行迭代升级。借此机会，给大家带来一个最新消息，天津“健康码”刚刚在“津心办”微信小程序端上线，形成了“津心办”APP、“津心办”支付宝小程序、“津心办”微信小程序多渠道多端申领天津“健康码”的模式，进一步方便市民和拟入津人员申领。下一步，天津“健康码”将联合“津心办”一网通办平台叠加更多便民服务应用，继续沿用下去。http://t.cn/A6zQs3UShttp://t.cn/A6zQs3Gd,0,科技
【12306图片验证码一次性输入正确率仅8%】数据显示，用户一次性成功输入验证码的比例仅为8%，65%的用户需要三次甚至四次以上才能输对。如此复杂的验证码难住票贩子了吗？一名黄牛“家X”透露，其采用台式电脑和购买的软件抢票，图片验证码只用机器自动验证即可“秒过”。http://t.cn/R4hdFBA,0,科技
互粉我国自行研制的机器人美女，超过世界上任何国家，在上海庆祝祖国70年之际。表演舞蹈(一条大河)先睹为快果粒橙乐的微博视频,1,科技
我今天才突然发现现在微博貌似可以看每条微博的访问量了。隔几天就要新增最近访客模块了。好多人抗议，和qq空间还有什么不同?!还是最开始的只有转发评论最好简简单单现在越改越,1,科技
苹果在今日凌晨推送了iOS14beta6更新，距离上次更新仅仅过去一周。本次更新带来了“空间音频”功能，可以实现类似电影院的环绕声效果。其次就是新增了一张“厦门e卡通”。更起来吧,0,科技
昨日，我国自行设计研制、全面拥有自主知识产权的“空中巴士”——巴铁1号试验车，在河北秦皇岛北戴河区开始启动综合试验。巴铁1号试验车为一节车厢，车长22米，宽7.8米，高4.8米，额定载客数为300人。乘客区设有20根竖立扶手，满足高峰时段不同身高站立乘客的需求。同时，车体配备多个液晶电视屏幕，...展开全文c,0,科技
iPhone5粉红款！女生的最爱！iPhone5首次曝光，即将上市。1.5GHzA4处理器，使用全新材质氮涂层外壳，这种氮涂层外壳具有防划防磨的特效。800万传感器，而且iPhone5完全解决了信号问题，并将支持4G连接，拥有32GB内存或64GB。喜欢的话，转发哈！[互粉],1,科技
【国产首架ARJ21支线客机今天交付】今天10:30，我国自主研制的新支线客机ARJ21首架机从上海飞成都，正式交付成都航空公司，这是中国民用客机研制的重要里程碑，标志着在国内航线上，将首次拥有我国自己研制的喷气式支线客机。中国，加入了世界商用飞机的家族！为中国点赞[赞](央视记者陈常伟),0,科技
ELIFEE7的镜头采用蓝宝石玻璃保护，摄像头的体积要比普通手机摄像头大2.5倍，机身依旧纤薄，屏占比大。前置摄像头是800w，1.4微米，和iphone5相同，自动对焦。800AC版本的支持LTE等5模，89743G版支持TD和WCDMA双模，12月5号量产，12月12号正式开卖。将抽取一名转发本文的朋友获得无线传输器E-box。,0,科技
"#空行飞行器#【“飞行滑板”真的可以带你上天！】法国喷气滑雪冠军FrankyZapata发明的喷气动力“悬浮滑板”FlyboardAir，最高能飞超过10,000英尺，时速可达150千米/小时。震惊全世界！有木有一种外星技术入侵的感脚？#美国疯传#美国疯传的...",0,科技
教吃货们几款小零食的自制方法，自己动手，丰衣足食~一起来新技能get！,0,科技
【三大银行称已将搜狗安全漏洞反馈给相关部门】搜狗浏览器存在重大安全漏洞，危及网银、邮箱等账户密码安全。记者电话采访招行、建行、工行等多家银行，相关银行客服部门回复称，目前已经把相关情况反馈给有关部门。此前已经有媒体报道称，此次搜狗浏览器被曝存明显漏洞有可能危及数千万网银账户的安全,1,科技
【“媒体融合链”来了中国搜索赋能版权保护】“媒体融合链，版权价值链”。由新华社中国搜索研发的“媒体融合链”区块链版权平台，近日正式上线。作为国家版权局“版权保护新技术研究推广站点”授牌单位，中国搜索此举旨在打造融合、协同、创新的版权新生态，助力提升媒体版权价值。详戳：...全文,0,科技
9个必学的快捷键技能，老板来查岗再也不怕不怕啦，小伙伴们速度get起来！（黑客师）,0,科技
iOS14的beta6推送了！归属地依然没修复ApplePay终于支持厦门e通卡了AirPodsPro的空间音频功能终于来了你更新了吗？,0,科技
我们的院士制度就是个笑话，它配不上屠呦呦先生。《非常遗憾，屠呦呦再次落选院士！诺贝尔奖却配不上院士？》屠呦呦是世界顶级女科学家，于2011年9月，发现青蒿素，有效降低疟疾病患者的死亡率，拯救了世界上数百万人的性命。网页链接,1,科技
【在5G、物联网、人工智能等领域开展合作，华为与湖南郴州签署战略合作协议】根据战略协议，双方将积极推动“新基建”项目建设，在新型智慧城市、5G、云计算、大数据、物联网、平安城市、人工智能、工业互联网等领域开展合作...在5G、物联网、人工智能等领域开展合作，华为与湖南郴州签署战略合作协议,0,科技
【误删资料，该怎么恢复？】一不小心，删错了，还把回收站清空了，怎么办？只要三步，你就能找回你删掉并清空回收站的东西。@实用小百科（转）,1,科技
#屠呦呦颁奖典礼#【当年屠呦呦拿自己做试验，因此患病】当时科研条件十分艰苦，都是土法上马，做临床试验时，是屠呦呦和另外两个同事先试服。屠呦呦因此得了中毒性肝炎。屠呦呦说，一个科研的成功不会很轻易，要做出艰苦的努力！,0,科技
今日有用户在Filecoin官方Slack频道提问，测试网激励计划启动时间是否是暂定的？开发者“momack2”回复表示，团队已经着手准备启动新的测试网，如无意外情况发生，将于北京时间8月25日早6点启动测试网激励计划。从周末来FIL放量上涨，是个很好的信号，大矿工提前知晓了官方的动态，这次启动大矿工测试竞赛（太空竞赛）十拿九稳了。400万枚FIL奖励，官方的说法是，要在主网启动后6个月内线性释放，测试期间的成绩会被计入创世区块。另外私募的币最早也要在主网启动6个月后释放，等于前期的币很少，FIL币价已比较高，但下半年仍值得期待！,0,科技
扶刚：致敬火神山医院设计者。知道武汉火山神医院的规划设计者是谁吗？是日本竹务工务店（超高层建筑施工公司）高级规划师木间雄二先生，他提出了无地基小承载陆上漂浮建设方案，最终被疫情指挥部选中了。这个原理是水上浮桥设计理念（没有桥墩），在中国地上快速装配建筑工程技术领域尚属首例。工程利用轻型钢架组拼塔技术制造成浮架，摆放在防渗透地面上，再以其为基础装配负压隔离病房。这种设计方案的最大好处是快，而且地面与房子之间形成了架空空间，为负压病房的隔离换气乃至下送风提供了施工方便，为上下水管，电缆线综合布线及建筑物的通风隔潮，医疗废弃物收集，提供了一个意想不到的第二通道。有专业人士认为，这种漂浮式应急建筑设计理念，让人们打开了多年来军式基地营房建设的新思路和新高度！也是当今电子战，无人机控制机房，陆基导弹和边境哨所的设计首选，不错吧！其实木间先生自己讲，他的设计灵感，就来源于中国西双版傣族的吊脚楼。🌹北京·首科花园,1,科技
离真正造出量子计算机还有多远？潘建伟：10到20年|离真正造出...潘建伟与陆朝阳课题组制造出的光量子计算原型机，计算速度超越了71年前诞生的世界首台经典算法计算机埃尼阿克(ENIAC)。一位审稿人评价：&amp;ldquo;你们构建了第一代&amp;lsquo;ENIAC&amp;rsquo;量子机器。&amp;rdquo;,0,科技
酸辣粉的9种不同做法，赶紧get起来，转需！,0,科技
"#第二届乌镇世界互联网大会#【这些博览会上的""神器""你知道都做干什么的吗？[酷]】无人驾驶汽车、5G通信技术、虚拟现实摄像机、虚拟试衣镜、多功能机器人…在乌镇，""互联网之光""博览会向人们展现着互联网无限可能。当白墙黛瓦千年古镇遇上互联网，传统和现代交融神奇画卷给人无尽想象。哪个你最感兴趣？",0,科技
【诺奖评委：不论学术还是生活，屠呦呦都是很了不起的人[good]】诺奖评委会秘书长沃尔本-林达勒：全球97个国家与地区的33亿人口仍在遭受疟疾威胁，70%的非洲疟疾患者应用青蒿素复方药物治疗。“屠呦呦不论是从学术上还是生活上都是一个很了不起的人。作为获奖人，她的经历是独一无二的。”祝贺，致敬！,0,科技
“数字山东”建设助推山东新旧动能转换2020-09-2512:42:30　来源:科技日报作者:马爱平9月23日，山东省人民政府与深圳市腾讯计算机系统有限公司在济南签署战略合作协议。根据协议，双方将充分利用移动互联网、物联网、大数据、云计算、人工智能、区块链等先进信息技术，在数字政府建设、数字经济发展、数字社会构建、数字平台搭建等方面深化合作，助力山东新旧动能转换，助推“数字山东”建设。根据协议，双方将共建工业互联网平台，重点打造腾讯云（烟台、东营、德州）工业云基地、腾讯云（烟台）双创基地、胶东经济圈数字经济生态产业园、腾讯云（黄河三角洲）大数据融创中心，为政府提供工业企业监测和管理支撑，为企业提供工业互联网和智能制造服务，逐步将各地市平台建成工业互联网示范项目。9月16日，山东文旅厅与腾讯签订战略合作协议，双方将在智慧文旅、全域旅游、文创IP、人才培育等领域进行系统深入合作。腾讯通过与山东省国欣文化旅游发展集团、山东广电海看网络联合成立公司，启动建设“好客山东·云游齐鲁”平台。基于数字文旅平台和产业发展，双方将共同探索传统文化与数字文旅及IP的融合，通过互联网科技手段和数字创意活动吸引年轻人了解感知山东，提升文创产品体系开发，创新业态落地等方向，助力文旅资源的数字化、资产化、产品化和市场化发展。在山东农业数字化建设方面，双方将以腾讯云（莘县）农业数字经济产业基地为载体，推进产-供-销-人才一体数字化转型，打造助政府监管、助企业做强、助农民增收，将莘县打造成“矩阵经济”的农业产业强县和宜居富裕的齐鲁样板点。山东省是国内农业大省，农产品进出口规模领跑全国，如烟台苹果、日照绿茶、金乡大蒜等农产品质量优质，双方将结合区块链溯源提升品牌价值，将助力张裕打造国内首个高端葡萄酒溯源区块链平台，实现张裕7大酒庄400万瓶酒庄酒种植环节、产环节、流通环节、营销环节的信息实时上链，利区块链防篡改的属性，实现物码全流程正品追溯，建品牌商和消费者之间的信任桥梁，提升企业品牌价值。同时，打造以莘县农业产业基础为依托的，农产品区块链溯源平台。,0,科技
【天津“健康码”亮码超2100万次集成新功能后将沿用】网页链接,0,科技
【有趣的一件事】◎屠呦呦与爱因斯坦、图灵等，入选了20世纪最伟大的科学家。理由:“如果用拯救多少人的生命来衡量伟大程度，那么屠呦呦无疑是史上最伟大的科学家之一！”◎昨天，屠呦呦第四次申请中科院院士又落选了。理由：无海外留学经历，博士学位，无一定数量的论文。◎结论:除去留洋和学位，诺贝尔奖获得者的写作业功夫还真不如科学院某些院士。,1,科技
【天津“健康码”亮码超2100万次集成新功能后将沿用】很多人关心疫情过后，天津“健康码”是否还会沿用？在3月19日召开的新闻发布会上，天津市大数据管理中心主任边柯柯就此回应称，天津“健康码”将联合“津心办”一网通办平台，集成更多便民服务应用，继续沿用下去。边柯柯介绍说，天津将积极推动“健康码”在“互联网+医疗健康”相关场景的应用，实现签约预约、挂号就诊、检查检验、报告查询等医疗健康服务“码”上可办。在此基础上，天津将着力探索推动“健康码”向“津心码”的演进，通过部门间业务协同和数据融合，集成更多公共服务功能，打造成为市民提供最尽心服务的掌上数据码，用于政务服务、商业消费、交通出行、社区治理等各种城市日常应用场景，不断提升公共服务均等化、普惠化、便捷化水平。“天津‘健康码’自2月29日上线以来，充分助力疫情防控和复工复产，在天津得到广泛使用，实现一‘码’走津门。它正逐渐受到市民和企业的认可，成为助力疫情防控和复工复产工作的有效数字通行证。”边柯柯介绍，截至3月19日12时，自主申领天津“健康码”人数达到441.38万人，累计亮码次数2148.08万次。获得“绿码”人员占比超过96%。此外，天津“健康码”自上线以来，在助力疫情防控和复工复产工作中发挥了重要作用。在助力疫情防控方面，通过“健康码”实现“津心办”一网通办平台和“津治通”一网统管平台两大平台联动，及时将自动识别的“红码”“橙码”人员信息推送至各区、街道（乡镇）、社区（村），纳入线下疫情防控体系，实现对不同人群的分类管理，形成“大数据+网格化”疫情防控工作闭环。在交通枢纽“三站一场”查验“健康码”，实现了入津离津重要通道的精准防控。在促进复工复产方面，天津“健康码”让企业防控更精准，复工复产更有序。例如，地铁集团在建工地的4500多名参建人员每天进入施工作业区前，经体温检测正常后，持“绿码”人员可直接上岗。中心城区商务楼宇实施亮“码”通行，减少了进入人员登记等待时间。快递和外卖人员可以凭“绿码”进入小区送货上门，方便了居民生活，也促进了行业回暖。http://t.cn/A6z8VVzR,0,科技
德国媒体消息：新iPhone将于9月15日开启预定。这个消息也与此前传言的9月12日苹果召开发布会时间点比较吻合。与6.5和5.8相比，我更好奇的是6.1的边框能有多窄？,0,科技
在百度搜你想看的片名或者主角，后面加上torrent，找到的全是种子。我会告诉你在百度文库的wenku前边加wap就能复制文档吗，我会告诉你在优酷播放页youku后加xia就能直接下载视频吗，我会告诉你在土豆视频链接后面加?tid=-1就可以跳过45秒广告吗。别逗了，我怎么可能告诉你呢！！#智言趣语录#,0,科技
【谷神星上的神秘亮斑，不是冰，而是盐】科学家们一直对谷神星上的神秘亮斑耿耿于怀：这些斑像痘痘一样长在小汤圆脸上，它们到底是什么？前不久曙光号发回的最新数据表明，这些明亮物质可能是某种硫酸盐，而不是之前猜测的水冰：http://t.cn/R47FhA2图一为最新伪彩色照片，图二为一月中旬的照片。,0,科技
